Service Name,Physical Address,Suburb,Physical State,Postal Code,2018 Aged Care Planning Region (ACPR) Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2016 LGA Name,2016 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude,2023/24 FY Australian Government Funding,Overall Star Rating,Residents' Experience rating,Compliance rating,Staffing rating,Quality Measures rating
Uniting Eabrai Weston ACT,"12 Namatjira DRIVE, WESTON, ACT, 2611",WESTON,ACT,2611,801,ACT,Residential,21,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,81098,Weston,80108,Weston Creek,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.33946547,149.05484441,1609135.69,4.0,4.0,4.0,5.0,1.0
Adria Village Ltd,"89 FREMANTLE DRIVE, STIRLING, ACT, 2611",STIRLING,ACT,2611,801,ACT,Residential,42,0,0,Adria Village Limited,Community Based,Major Cities of Australia,1,81096,Stirling,80108,Weston Creek,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.3475271,149.0478237,4033917.55,4.0,4.0,4.0,4.0,4.0
Southern Cross Care Campbell Residential Aged Care,"2 White CRESCENT, CAMPBELL, ACT, 2612",CAMPBELL,ACT,2612,801,ACT,Residential,42,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,81124,Campbell,80105,North Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.28874964,149.15362655,4052677.2,4.0,3.0,5.0,3.0,3.0
RFBI Holt Masonic Village,"138 Hardwick CRESCENT, HOLT, ACT, 2615",HOLT,ACT,2615,801,ACT,Residential,53,0,0,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,1,81015,Holt,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.22348147,149.01928587,5109774.47,4.0,4.0,5.0,3.0,3.0
Uniting Mirinjani Weston ACT,"11 NAMATJIRA DRIVE, WESTON, ACT, 2611",WESTON,ACT,2611,801,ACT,Residential,62,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,81098,Weston,80108,Weston Creek,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.339172,149.055199,5671467.45,4.0,4.0,5.0,2.0,4.0
Mountain View Aged Care Plus Centre,"27 Leahy CLOSE, NARRABUNDAH, ACT, 2604",NARRABUNDAH,ACT,2604,801,ACT,Residential,67,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,81067,Narrabundah,80106,South Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.3435784,149.14242865,6518737.86,4.0,4.0,5.0,3.0,3.0
BaptistCare Carey Gardens Centre,"111 Carnegie CRESCENT, RED HILL, ACT, 2603",RED HILL,ACT,2603,801,ACT,Residential,68,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,81069,Red Hill (ACT),80106,South Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.33685334,149.13376896,6040024.67,4.0,4.0,5.0,2.0,5.0
Southern Cross Care Ozanam Residential Aged Care,"7 Boake PLACE, GARRAN, ACT, 2605",GARRAN,ACT,2605,801,ACT,Residential,72,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,81102,Garran,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.33878539,149.09498802,6852207.1,3.0,3.0,5.0,2.0,2.0
Sir Leslie Morshead Manor,"26 Archibald STREET, LYNEHAM, ACT, 2602",LYNEHAM,ACT,2602,801,ACT,Residential,79,0,0,Morshead Home For Veterans and Other Aged Persons Limited,Charitable,Major Cities of Australia,1,81057,Lyneham,80105,North Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.24490268,149.12448824,8608211.09,4.0,4.0,5.0,3.0,3.0
Mona Tait Gardens,"160 Ellenborough STREET, KALEEN, ACT, 2617",KALEEN,ACT,2617,801,ACT,Residential,80,0,0,Morshead Home For Veterans and Other Aged Persons Limited,Charitable,Major Cities of Australia,1,81016,Kaleen,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.230815,149.11565,8075666.74,3.0,3.0,5.0,2.0,3.0
